id;start_date;end_date;language
1;2024-08-31T20:37:00;2024-08-31T18:27:15;ENGLISH
2;2024-08-31T06:04:35;2024-08-31T15:30:04;FRENCH
3;2024-08-31T16:00:47;2024-08-31T04:05:55;SPANISH
4;2024-08-31T20:31:36;2024-08-31T01:57:55;FRENCH
5;2024-08-31T22:47:59;2024-08-31T07:06:57;ENGLISH
6;2024-08-31T08:18:42;2024-08-31T22:19:02;SPANISH
7;2024-08-31T16:22:30;2024-08-31T02:56:39;FRENCH
8;2024-08-31T06:48:23;2024-08-31T03:24:12;FRENCH
9;2024-08-31T07:40:01;2024-08-31T19:11:27;FRENCH
10;2024-08-31T03:36:59;2024-08-31T20:34:28;FRENCH
